no,일자,상대팀,상대팀 선발 투수(외국인),유니폼,홈구장,전경기결과,슈퍼매치,최근5경기승률,휴식기간,이동거리,상대 전적 승률,시즌 누적 승률,연승/연패,홈/원정 구분 승률,최근 7일 경기수,우리팀 선발,결과
1,2025-03-08,기아,O,홈,O,-,X,0.5,3,0,0.5,0.5,0,0.5,0,박세웅,승
2,2025-03-09,기아,X,홈,O,승,X,1,1,0,0.5,1,1,1,1,반즈,무
3,2025-03-10,LG,O,홈,O,무,X,0.75,1,0,0.5,0.75,0,0.75,2,김진욱,패
4,2025-03-11,LG,X,홈,O,패,X,0.5,1,0,1,0.5,-1,0.5,3,나균안,승
5,2025-03-13,한화,X,홈,O,승,X,0.625,2,0,0.5,0.625,1,0.625,4,데이비슨,무
6,2025-03-14,한화,X,홈,O,무,X,0.6,1,0,0.5,0.6,0,0.6,5,박진,패
7,2025-03-15,KT,,,,,,,,0,0.5,0.5,-1,0.5,6,,우천취소
8,2025-03-16,KT,,,,,,,,0,0.5,0.5,-2,0.428571429,6,,우천취소
9,2025-03-17,키움,X,원정,X,패,X,0.4,3,325,0.5,0.5,-3,0.5,6,박세웅,패
10,2025-03-18,키움,X,원정,X,패,X,0.3,1,325,0.5,0.428571429,-4,0,6,나균안,승
11,2025-03-22,LG,O,원정,X,승,X,0.5,4,325,1,0.5,1,0.5,6,반즈,패
12,2025-03-23,LG,X,원정,X,패,X,0.3,1,325,1,0.444444444,-1,0.333333333,4,박세웅,패
13,2025-03-25,SSG,X,원정,X,패,X,0.2,2,330,0.5,0.4,-2,0.25,4,데이비슨,승
14,2025-03-26,SSG,X,원정,X,승,X,0.4,1,330,0,0.454545455,1,0.4,3,김진욱,패
15,2025-03-27,SSG,X,원정,X,패,X,0.4,1,330,0,0.416666667,-1,0.333333333,4,나균안,패
16,2025-03-28,KT,O,홈,O,패,X,0.2,1,0,1,0.384615385,-2,0.375,5,반즈,패
17,2025-03-29,KT,O,홈,O,패,X,0.2,1,0,0.5,0.357142857,-3,0.333333333,6,박세웅,승
18,2025-03-30,KT,X,홈,O,승,X,0.4,1,0,0,0.4,1,0.4,6,데이비슨,무
19,2025-04-01,한화,,,,,,,,0,0.5,0.40625,0,0.409090909,6,,우천취소
20,2025-04-02,한화,X,원정,X,무,X,0.3,3,200,0.5,0.40625,-1,0.285714286,6,김진욱,승
21,2025-04-03,한화,O,원정,X,승,X,0.5,1,200,0.666666667,0.441176471,1,0.375,6,나균안,승
22,2025-04-04,두산,O,동백,O,승,X,0.7,1,0,0.5,0.472222222,2,0.375,6,반즈,패
23,2025-04-05,두산,X,동백,O,패,X,0.7,1,0,0,0.447368421,-1,0.346153846,6,박세웅,승
24,2025-04-06,두산,X,동백,O,승,X,0.7,1,0,0.5,0.475,1,0.392857143,6,데이비슨,패
25,2025-04-08,기아,X,홈,O,패,X,0.6,2,0,0,0.452380952,-1,0.366666667,6,김진욱,패
26,2025-04-09,기아,O,홈,O,패,X,0.4,1,0,0.125,0.431818182,-2,0.34375,6,나균안,패
27,2025-04-10,기아,X,홈,O,패,X,0.2,1,0,0.666666667,0.413043478,-3,0.323529412,6,반즈,승
28,2025-04-11,NC,X,원정,X,승,X,0.4,1,50,0.1,0.4375,1,0.444444444,6,박세웅,승
29,2025-04-12,NC,X,원정,X,승,X,0.4,1,50,0.25,0.46,2,0.5,6,데이비슨,승
30,2025-04-13,NC,X,원정,X,승,X,0.6,1,50,0,0.480769231,3,0.545454545,6,김진욱,패
31,2025-04-15,키움,O,홈,O,패,X,0.6,2,0,0,0.462962963,-1,0.361111111,6,나균안,승
32,2025-04-16,키움,X,홈,O,승,X,0.8,1,0,0.5,0.482142857,1,0.394736842,6,반즈,승
33,2025-04-17,키움,X,홈,O,승,X,0.8,1,0,1,0.5,2,0.425,6,박세웅,승
34,2025-04-18,삼성,X,올드,X,승,X,0.8,1,90,1,0.516666667,3,0.5,6,데이비슨,승
35,2025-04-19,삼성,X,올드,X,승,X,0.8,1,90,1,0.532258065,4,0.538461538,6,김진욱,패
36,2025-04-20,삼성,O,올드,X,패,X,0.8,1,90,0.75,0.515625,-1,0.5,6,나균안,승
37,2025-04-22,한화,,,,,O,,,0,0.5,0.53030303,1,0.452380952,6,,우천취소
38,2025-04-23,한화,O,홈,O,승,X,0.8,3,0,0.8,0.53030303,-1,0.431818182,6,반즈,패
39,2025-04-24,한화,X,홈,O,패,X,0.6,1,0,0.25,0.514705882,-2,0.413043478,6,박세웅,승
